feature_1,target
1,24.64052345967664
2,13.001572083672233
3,20.787379841057394
4,35.40893199201458
5,33.675579901499674
6,7.22722120123589
7,28.500884175255894
8,19.486427917023022
9,21.96781148206442
10,29.105985019383724
11,28.440435711608778
12,43.54273506962975
13,38.610377251469934
14,34.216750164928285
15,39.43863232745426
16,40.33674327374267
17,53.94079073157606
18,38.94841736234199
19,46.13067701650901
20,36.45904260698275
21,21.470101841659215
22,55.53618595440361
23,59.64436198859506
24,45.57834979593558
25,77.69754623987608
26,42.45634325401235
27,59.45758517301446
28,59.128161499741665
29,78.32779214358457
30,79.69358769900285
31,68.54947425696916
32,72.78162519602174
33,62.12214252369887
34,53.19203531776073
35,71.52087850673847
36,78.5634896910398
37,91.30290680727721
38,93.02379848784412
39,79.12673182592047
40,81.97697249424664
41,76.51447034932907
42,74.79982062821026
43,73.93729809374987
44,112.5077539523179
45,89.90347818248347
46,92.61925698388814
47,86.47204639950074
48,108.7749035583191
49,86.8610215244205
50,102.87259719786032
51,98.04533438806324
52,112.86902497859262
53,105.89194862431127
54,101.19367815877588
55,114.71817771661345
56,121.28331870530418
57,119.66517222383168
58,124.02471897739781
59,116.65677906319037
60,121.37258834012862
61,120.27539552224049
62,125.4044683845946
63,122.86853717955546
64,115.73717397668324
65,136.77426142253753
66,132.98219063791737
67,122.69801653033956
68,145.62782255525775
69,133.92701635616757
70,145.5194539579614
71,154.29090562177538
72,150.2898291075741
73,162.394006845433
74,140.65174179646348
75,159.0234164117755
76,150.15189909059686
77,150.29202850818118
78,155.21150335235583
79,159.88447467872626
80,165.56165342229747
81,155.34850159216643
82,178.00826486954188
83,175.6566243973046
84,157.63756313722777
85,189.882521937956
86,195.95889176030585
87,190.78779571159652
88,179.20075164187648
89,172.29247378489458
90,195.54451726931137
91,182.96823053026822
92,201.2244507038243
93,193.0827497807686
94,202.76639036483712
95,198.563663971744
96,204.0657316819195
97,199.1050002072082
98,218.85870493905836
99,204.2691209270362
100,209.01989363444702
